Reference_Text,Ground_Truth,Predicted_Summary
"SUBJECT: Thyroid Cancer
MESSAGE: thyroid cancer . please send all data regarding surgery, issues after the surgery possible outcomes to the surgery.","Where can I find information on surgery for thyroid cancer, including recovery and prognosis?",What are the possible outcomes of surgery for thyroid cancer?
"MESSAGE: Will storing my medication in the freezer reduce their efficacy? I have many and more related questions about storing pills at various temperatures that I would like to ask about, but let's start with that question. The drugs that I am concerned about are digoxin and lisinopril. As far as I know, the dosage is the lowest possible prescribed dosage for each medication (if that matters). I hope my question will not be thought of as a specific, or individually based question and you are able to answer in the most broad and objective way. Thank you very much in advance.",Will storing digoxin and lisinopril in the freezer reduce their efficacy? ,Will storing medication in the freezer reduce their efficacy?
"Hello, Im sorry about my mom, she has black her mounth, neck and arms, her skin is changed in color black, she has diabetes, she inyects insuline. Can you reccomend me something please? 
 
Sent from my MetroPCS 4G Android device
 ",What treatments are available for diabetic skin darkening?,"Is there any recommendation for treating my mom's darkened skin, neck, and arms, which is a symptom of her diabetes?"
"Hello, my name is [NAME] and i am a student at [LOCATION] here in [LOCATION]. I am composing a research report on SIDS and i was hoping you could help me with some information. I was particularly interested in learning weather parents should be worried about cribs death and if you could direct me to some resources on that, or even allow me to interview you. Thank you for your time. If you have anything else that might help me, i would really appreciate it. You can email me at [CONTACT] or contact me by my phone at [CONTACT]. Thanks again.",Where can I find information on SIDS?,Should parents be worried about cribs death and where can they find resources on this topic?
"SUBJECT: Help for my diagnose
MESSAGE: I have been diagnosed with SCA3. I was wondering if MedlinePlus is able to help me with resources that I may need on my journey through this disease? If not, can you help me find an organization or association that can help me.","Where can I find information on SCA3, and how can I find physician(s) or hospital(s) who specialize in it?",What resources are available to help me manage my diagnosis of SCA3?
"SUBJECT: rectal prolapse
MESSAGE: my rectum is stretched out and I need information mailed to me about surgical options. My address is [LOCATION]",Where can I find information on rectal prolapse surgery?,What are the surgical options for rectal prolapse?
Prenatal exams for leigh syndrome. I am looking for information about having prenatal exams anmnio or chorionic villus sampling for NARP and leigh syndrome. Thank you in advance,Where can I find information on prenatal genetic tests for NARP and leigh syndrome?,Prenatal exams for Leigh syndrome
"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: Hi, I have mixed diagnosis of autoimmune connective tissue disease and would like to submit information about this disease. I also need some serious rheumatologist recommended in
Argentina or Latin America. From already thank you very much",How can I find  rheumatologist(s) who specialize in mixed connective tissue disease in Latin America?,What are the symptoms and treatment options for autoimmune connective tissue diseases?
"SUBJECT: Customer Service Request
MESSAGE: Hi,
We are 2 sisters and a brother. My brother at age of 24 is detected with catract, however it is mild so operation is not required. But doctor said, there are chances he has this from Birth. However only from past 1.5years he had a little blur vision.
And in my entire family Mom and Dad said no one has had catract from Birth. We are a big family, my grapa had 7 brothers and 2 sisters no one from their family or my mom has catract from birth or even at early age. My concern is, if i am pregnant will my children have any issue like this. I amd my sister, mom, dad we all have got our eyes checked. we dont have any issue. I am really tensed as i am expecting. Can you please help me with the answer.",Who is at risk of developing infantile cataracts?,Did my brother have catract from birth?
MESSAGE: I have undergone Total Hip Replacement of both my hip jonts in 1977 (Charnley Process ) My left joint is completely worn out.How safe and effective is revision surgery..can I get a cementless joint..I am 66 years old..An early repy to my query will be very much appreciated.,"Where can I find information on hip revision surgery, including risks and prognosis?",Is revision surgery safe and effective for a cementless joint replacement in a 66-year-old patient who has undergone Total Hip Replacement of both hip joints in 1977 (Charnley Process) and the left joint is now completely worn out?
"SUBJECT: Hair loss (men) on legs/feet as one ages
MESSAGE: I have observed hair loss on lower extremities on males. Is this poor blood circulation? Any advice?","Where can I find information on hair loss on the lower extremities in men, including causes and treatment?",Is this poor blood circulation?
"MESSAGE: My son  five years old has Ganglisidose GM 1, we are looking for a drug that could help him, or at least could prolong life. He gets Miglusitat for 1 week. Can you help us or just send some information. We would be very grateful.","Where can I find information on GM1 gangliosidosis, including treatment and prognosis?",Can you help us find a drug that could help my five-year-old son with Ganglidose GM1 or at least prolong his life?
"SUBJECT: Need information abouot Folgard OS
MESSAGE: Need information about Folgard OS. I am in U.S.A. but that wasn't listed as a choice of countries!",Where can I find information on folgard OS in USA?,What is Folgard OS?
"SUBJECT: Normal physical traits but no period
MESSAGE: I'm a 40 yr. old woman that has infantile reproductive organs and have never experienced a mensus. I have had Doctors look but they all say I just have infantile female reproductive organs. When I try to look for answers on the internet I cannot find anything. ALL my ""girly"" parts are normal. My organs never matured. Could you give me more information please.",Where can I find information on developmental disorders of the female reproductive system?,What are the possible causes and treatments for a 40-year-old woman who has infantile reproductive organs and has never experienced menstruation?
"SUBJECT: acute constipation
MESSAGE: Sir, 1. I wish to know if severe constipation/non clearence of bowels is also related to Diabetes in old age people. 2. Request if you may provide any medical paper associated to my query.",Does diabetes affect bowel movements? ,Is severe constipation/non clearance of bowels related to Diabetes in old age people?
"SUBJECT: Is Balsalazide a steroid?
MESSAGE: Is Balsalazide a steroid? I have been on it doe close to 2 years now, your information states 6-8 weeks.  Will this do any damage to my other organs?  Was on Asacol prier to Balsalazide 750mg each X9 per day.  Is this safe? I cannot seem to lose any weight no matter how much I try. I exercise 5-6 days a week for 30 minutes, watch what I eat.","Where can I find information on balsalazide, including dosage, side effects, and drug class?",Is Balsalazide a steroid?
"SUBJECT: autonomic and arthritis .
MESSAGE: Hi there , i have a few questions about autonomic disorders combined with arthritis ? My girlfriend has arthritis and autonomic disorder. I am really worried about her and want to help her, is there any new medications out there for treatment of autonomic disorder ? Also her autonomic disorder effects her heart lungs and blood pressure , is this condition fatal ? How long does someone live with this condition ?","Where can I find information on autonomic disorder, including symptoms, treatment, and prognosis?","What are the latest treatment options for autonomic disorders and arthritis, and how long can someone live with this condition?"
"Re: 16p-13.11 duplication of genes. Dear all, I am a health professional and have recently assessed a 9 year old boy on my caseload whose mother reported that he has been diagnosed with 16p-13.11 duplication of genes.  I have never come across it and when I looked on the internet I could not find anything coherent.  I have been in contact with the paediatrician who used to be in charge of that child but she is unfortunately on long term sick.  Would you be able to give me some information on this condition with key features please? Are there behavioural, coordination, sensory difficulties, etc...that can be associated with it?","Where can I find information on 16p-13.11 duplication, including symptoms?","What are the key features of 16p-13.11 duplication of genes, a rare genetic condition that can cause various developmental delays and behavioral issues in children?"
"SUBJECT: LIFESPAN OF UN-OPENED MEDICATION
MESSAGE: Hi I have an un-opened prescription of Atorvastatin. How long is the lifespan in an Un-Opened container that has been stored at room temp (roughly 60degrees)?   Thanks",For how long can Atorvastatin be stored at room temperature?,How long is the lifespan of an unopened prescription of Atorvastatin that has been stored at room temperature (roughly 60 degrees)?
"SUBJECT: The results of smoking
MESSAGE: What are some illnesses caused by smoking? Also, what are their effect on the human body?",What are the risks of smoking?,"What are some illnesses caused by smoking? Also, what are their effect on the human body?"
"Hi,
Fırst of all thanks for valuable information whıch you Published on your web sıte.
http://www.cdc.gov/measles/about/complications.html
I couldnt find any ınformatıon on web that ıs related early ages..
When my son 6 months old (when he was baby)  he had measles and he hadnt had vaccacine when he was ill.
I saw that if you had measles you have possıbılıty for SSPE that is 4 to 20 out of 100.000 case...But I want to know (it ıs very ımportant for me) if you had measles when your son stıll baby,what is the risk..
Please help me to know the facts...Please Write me the worth case.. I want to know just truth..
Thanks,
Best Regards
[NAME]",What percent of babies who contracted measles will eventually develop SSPE?,What is the risk of developing SSPE if a baby under 1 year old has measles?
Interested in research regarding Arimidex and the pros and cons of taking it following lumpectomy and radiation for breast cancer.  Are there research results of recent research?  The possible side effects are worrying - I make decisions for my 47 year old daughter with Down Syndrome-trying to do what is best.  She has taken Anastrozole for a year now.,"What is the the latest research on Arimidex, and the benefits and side effects of the drug?","What are the pros and cons of taking Arimidex after lumpectomy and radiation for breast cancer? Are there recent research results? I am making decisions for my 47-year-old daughter with Down Syndrome, and the possible side effects are worrying."
"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: I have had epilepsy for 26 years and my seizures have never been under control. I started the Modified Atkins Diet a couple of weeks ago, but I am having serious issues and hope you might have an answer. My seizures have tripled in these 2 weeks than what have been in years. Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone? Please help me.",What is the success rate of the modified Atkins diet for epilepsy?,Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone?
MESSAGE: Afternoon my name is [NAME] i just need a clarity on ACL repair. [DATE] i done ACL repair as the doctors told me after my discharge i attend physiotherapy but after the physio my leg get swallow so i stopped as there was no progress. now my knee is stiff and swallow also it change colour and doctors tells me they don't see anything. so i need an advise what can i do or where can i go and get help.  regards   [NAME],What is the recovery process after ACL surgery?,"What are the best options for managing a swollen and stiff knee after an ACL repair, and where can I go for help?"
"SUBJECT: Thoracic outlet syndrome
MESSAGE: I was diagnose with TOS in my left shoulder was told surgery would help my problem. physical therapy did not help tired of the numbness in pain in hand just wondering if the stats our good percentage wise for surgery results Dr.[NAME] is my surgeon",What are the success rate and prognosis for thoracic outlet syndrome surgery?,What is the good percentage of surgery results for Thoracic Outlet Syndrome (TOS)?
"MESSAGE: HI, THIS IS [NAME]. SUPPOSE WE REMOVED THE EYE DUCT DUE TO TEAR TUBE DAMAGE, IS IT ANY PROBLEM WILL COME??",What are the prognosis and complications of tear duct surgery?,Is it any problem will come if we removed the eye duct due to tear tube damage?
polymicrogyria. My 16 month old son has this. Does not sit up our crawl yet but still trying and is improving in grabbing things etc etc. Have read about other cases that seem 10000 time worse. It's it possible for this post of his brain to grown to normal and he grow out of it?,What is the prognosis for polymicrogyria?,"Can my 16 month old son's brain grow out of polymicrogyria, a condition where the cerebral cortex is abnormally folded and thinned?"
MESSAGE: Sometime during March I overdosed on Benadryl. I got all the symptoms but survived without medical treatment. I am just curious as to if any damage happened.  Like Neurological.,What is the prognosis for benadryl toxicity?,Did you overdose on Benadryl in March?
"SUBJECT: Small intestine completely removed
MESSAGE: One of my family members has a serious health issue in which his small bowel has been removed completely, due to gangarin. Could you please help and advise accordingly.",What are the prognosis and care instructions after small bowel resection?,Could you please help and advise accordingly.
"SUBJECT: sodium intake
MESSAGE: My mother is 96 years old and generally in good health.  I keep her on a low sodium diet and wonder if I'm not allowing enough sodium in her diet.  What is the lowest amount she should have per day?  Thank you.",What is the minimum required sodium intake per day in elderly?,What is the lowest amount of sodium my mother should have per day?
"SUBJECT: PERIDONTITIS LEFT UNTREATED EFFECTS
MESSAGE: Hi, If periodontitis is left untreated for approx 7 months will it have any affect on the condition as I need to travel.  A dentist has told me I have mod-advanced periodontitis with gum pockets of 5-9mm and bone loss 20-50>% with restorations and caries.  I have all my teeth at this stage, some are loose.  If I leave it for this amount of time is it likely to worsen at all and what could I expect?  On the other hand if I seek treatment immediately will help in any way.  Hope to hear from you.  Thanks kindly [NAME]",What is the prognosis for untreated periodontitis?,What are the effects of untreated periodontitis on my oral health if left untreated for approximately 7 months?
"SUBJECT: Vasectomy
MESSAGE: On the text that says it is very rare that the vas deferens can grow back and my partner pregnant ... So is it possible? ... Is that my partner got pregnant, I have vasectomy 16 years .. [CONTACT]     thanks",What is the late failure rate of vasectomy?,yes
"Customer Service Request.
 My daughter has Turner syndrome but she's beaten all odds. She developed on our own, got her period on her own, she is now pregnant on her own with identical twins. My question is can she have normal children or do they have more of a chance of having Turner syndrome.  My daughter has been tested many times to confirm her diagnosis of Turner syndrome and she is a full XO not mosaic but still does not display many of the characteristics. Again, I am just questioning the safety of the pregnancy and the health of the babies. Thank you for your help",What is the inheritance pattern of Turner syndrome?,Can my daughter have normal children or does she have a higher chance of having Turner syndrome?
"Multiple orgasm.
 If I get a  vesectomy will I still be able to have multiple orgasms? I know it's not even usual to have them as a guy, which is why I'm wondering if I would still have them if my vasectomy happened?",What is the effect of vasectomy on orgasms?,Will I still be able to have multiple orgasms after a vasectomy?
"SUBJECT: residual cancer
MESSAGE: How long do radiation treatments actively treat the area where it was delivered?
Would cancer found approximately 3 months after radiation(which followed chemo, which followed surgery, and pt is on aromatase inhibitor since chemo) be considered residual or reoccurrence by most oncologists?",What is the difference between residual and recurrent maligancy?,How long do radiation treatments actively treat the area where it was delivered?
"ClinicalTrials.gov - Question - general information. my name is [NAME] from [LOCATION],my 10year old boy has duchenne muscular dystrophy  patient. my question is what is exon skipping & it can help for dmd  patient ?","What is exon skipping, and is it an effective treatment for  duchenne muscular dystrophy?",What is exon skipping and can it help treat Duchenne muscular dystrophy?
"BCG and Stage 3 Urinary Bladder Cancer.
 My dad begins this BCG Treatment in a few weeks for Stage 3 cancer tumors in the urinary bladder?  How effective is BCG for this issue?  Thank you very much.    Is BCG similiar to Chemotherapy?","What is BCG treatment, and is it an effective treatment for bladder cancer?",Is BCG effective for treating Stage 3 Urinary Bladder Cancer?
"SUBJECT: meaning of label directions
MESSAGE: asked if med label says ""take with food"", how much food is required and found no asnwer.  not supposed to eat at nite when med is
to be taken.     no answer.","What does ""take with food"" mean on medication labels?",What does the label on my medication mean when it says 'take with food'?
"SUBJECT: insulin-dependent diabetes in children
MESSAGE: Hi, What are the causes of insulin-dependent diabetes in children? I am searching for information on the causes of insulin-dependent diabetes in children. Please help.",What causes type 1 diabetes in children?,What are the causes of insulin-dependent diabetes in children?
"Tailbone trauma - aftercare
 I read the article, but what if the person hasn't falling or been bumped?  What could cause this?",What causes tailbone injury?,What could cause tailbone trauma if the person hasn't fallen or been bumped?
"SUBJECT: X-linked congenital stationary night blindness
MESSAGE: i m suffering from similar or same decease.my mothers father suffered from same & my brother also.we have problem in low light infact cant view in damp conditions during day also have myopia but still not normal myopia cant see little object with clarity.life is looking like imprisonment.is there any chance for our recovery from this x linked decease.will we be able to see like normal ones.plz help. my age 38 y brother 44.address [LOCATION]",What are the treatments for X-linked congenital stationary night blindness?,Can we recover from X-linked congenital stationary night blindness and see like normal individuals?
"We appreciate your response.
My son is 24 years old. We cannot find any drugs, treatments as well as
hospitals to fight against Wilson's disease in [LOCATION].
Currently there is [PHI] person with Wilson's disease in [LOCATION] who is my
son. We cannot find anything good to help my son at the moment.
Therefore, we need somewhere where my son can get help. We are also lack of
financial condition to support full treatment for my son. However,
we wish to have good medication with less expense if possible. We want to
get diagnosed my son's other infected organs and want to know how we can
help to get them recovered well.
Regards
[NAME].","What are the treatments for Wilson's disease, and how can I find physician(s) or hospital(s) who specialize in it?",What are the available treatment options for Wilson's disease in [LOCATION] with a financial constraint and a desire for less expensive medication?
"Spinal Cord.
 My Brother is 58 years old have spinal cord problem his both legs he cannot move them wheelchair user his legs are very heavy as he had urinaire infection after the other now the test comes positive and the infection still going cannot clear so his Doctor cannot give him any treatment for his main problem (Spinal cord) I want to help him what he should do I want to get advice please baging you for help and advice, many thank you",What are the treatments for urinary tract infection?,"What can my brother do to address his spinal cord problem, which is causing weakness in his legs and making it difficult for him to walk, despite positive test results for urinary infection that have not cleared up?"
"pls guide us.
 Dear sir/Madam pls guide us recently we found one of woman staying with us ,she coughing and blood coming from mouth so she went to doctor on 2012 they did blood test and sputm test ct scan also they didnt find anything ,recently she went to indonesia [LOCATION] ,they found repot was PROGRESSIVE DISEASE,ACTIVE LUNG TBINTHE RIGHT B2 AND B4 SEGMENS,THE EXUDATIVE LESIONS IS INCREASING WITH SMALL CAVITY .so what we have to do for her is this contages ,who is the pople staying with her need to do test ?pls guide me thank u my contact [CONTACT]","What are the treatments for tuberculosis, and is it contagious?","What should we do for a woman who has been diagnosed with progressive lung TB in her right B2 and B4 segments, with exudative lesions increasing and small cavity, after being tested in Indonesia?"
"SUBJECT: sudden pain in heart
MESSAGE: I need to know for what its happening ? because i am very scared what may happen",What causes sudden chest pain and what are the treatments? ,What is causing the sudden pain in my heart?
"SUBJECT: tongue problem
MESSAGE: I can speak every thing I have mistake some word like r,n I can n't speak.this is my problem .every person tell me..please give me suggestion..",What are the treatments for speech disorders?,"What is the cause of difficulty speaking and mixing sounds, particularly with the letters 'r' and 'n'?"
"SUBJECT: ClinicalTrials.gov - General Complaint
MESSAGE: I HAVE CRONIC PAIN FROM SEVERE SHINGLES.THE BLISTERS ARE GONE BUT THE PAIN IS SEVERE.WHAT SHOULD I DO. I CAN' KEEP THIS PAIN",What are the treatments for shingles pain?,What should I do for severe chronic pain from shingles that has persisted after the blisters have healed?
"I had a molar removed painful and not healing. swab test in tooth extraction hole revealed I have serratia marcescens. Oral surgeon ordered levaquin. Scared went to a new oral surgeon, he said since I have been on antibiotics for more than four months do not take new antibiotic. I am scared!!! Dont really have any serious symptoms. bad taste in mouth funny colored tongue. follow up with new dr this monday.Please help.",What are the treatments for serratia marcescens infection?,"I had a tooth extraction and the hole is not healing, a swab test revealed the presence of Serratia marcescens. My oral surgeon prescribed Levaquin, but the new oral surgeon I saw is hesitant to prescribe antibiotics due to my long history of antibiotic use. I am experiencing some unpleasant symptoms like bad taste in my mouth and a funny-colored tongue, and I have a follow-up appointment with the new doctor on Monday. Please help."
"sounding in my ear every time for along time.
 my ear has been sounding for along time it started 20years ago at first time it started during swimming I go to doctors in [LOCATION], [LOCATION] and [LOCATION] but it's not become correct. I wish you to give me good advice please.",What are the treatments for ringing in the ear?,What is causing the persistent ringing in my ear and how can I stop it?
"SUBJECT: still very sore under my middle rib cage and little swollen
MESSAGE: any suggestions for this discomfort ? sore and swollen from auto accident was wearing seat belt.",What are the treatments for rib pain and swelling after car accident?,"What can I do for the persistent soreness and swelling under my middle rib cage, which I have had since an auto accident while wearing a seat belt?"
"SUBJECT: pulmonary tuberchlosis
MESSAGE: respected sir/madam, i takeing treatment of pulmonary tuberchlosis past two years now it is in 2nd stage. there is no change in my x-ray report they show constant figure. my sputum report is negative hiv test also negative in ultra sound show some fluid (water) but it shows constant. what shall i do for clear the remaining fluids.", What are the treatments for lung fluid retention after two years of anti-tuberculosis treatment?,"What can I do to clear the remaining fluid in my lungs, which has been present for two years and has not changed despite treatment, as indicated by constant X-ray and sputum reports, and negative HIV tests?"
"SUBJECT: Psoriasis for past 7-8 years
MESSAGE: I had psoriasis on my scalp for nearly 10 years. Please give suggestions and medications.",What are the treatments for psoriasis?,What are the best medications and suggestions for managing psoriasis on the scalp for the past 7-8 years?
"SUBJECT: PROBLEM OF POLYUREA
MESSAGE: RESPECTED MEDICAL TEAM ,MEDLINEPLUS I AM A pharmacist by profession and here I WANT TO GET SOME INFORMATIONS/ SUGGETIONS REGARDING THE ABOVE MENTIONED SUBJECT. THE CASE HISTORY IS THAT A  FEMALE AGED PATIENT OF 65 YEARS OLD IS SUFFRING IN POLY UREA CONDITION.SHE IS NOT A PATIENT OF diabetes.SHE FACEING A PROBLEM OF EXCESSIVE URINE AT NIGHT TO GET UP.NO CGANGE IN THE COLOR CHANG/BLOOD IN URINE,BURNING FEVER,PAIN.NOT TAKING ANY DIRETICS. ALTOUGH SHE IS A HYPERTENSIVE PATIENT.gIVE ME SOME SUGETIONS TO TREAT SUCH CASE/TEST .REGARDS",What are the tests and treatments for polyuria?,"What are some possible treatments for a 65-year-old female patient suffering from polyuria (excessive urine production) at night, without diabetes, and with symptoms of burning fever, pain, and no change in urine color or blood in the urine?"
"SUBJECT: Feeling pain
MESSAGE: Dear all,  Last week I did operation of hammorhoide and day by day I am getting worse I mean not feeling well.although my anus is outside and not going in so kindly requesting you to furnish me the good idea in Order to prevent my pain.  Thanks",What are the treatments for pain after hemorrhoidectomy?,What can I do to prevent the pain I am experiencing after my hernia surgery?
"Dear Sir/Madam
I'm [NAME] from [LOCATION], I'm 35 years old ,
I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,
So please is there treatment for optic nerve atrophy !
Please see the attachment which is a Medical report from [LOCATION],
Best Wishes
[NAME]",What are the treatments for optic nerve atrophy?,Is there a treatment for optic nerve atrophy?
"SUBJECT: Muscle function loss of Left Arm
MESSAGE: Dear Doctor,  I am [NAME] from [LOCATION] ,first of all thank you very much for this article and its a great service.I am writing this email for my loving father ,He lost his left arm muscle because of nerve damage but he can access his finger .he cannot lift his hand without help of right hand.we already get consults from many doctors but there is no result found ,We are from village and poor family background ,i don't have much money to give good treatment for my father .so i request you please recommend a proper treatment for my father .this is my kind request to save my father . for more details required please feel free to contact me  my Email:-[CONTACT] My contact number :-[CONTACT]  With lot s of expectations,  [NAME]",What are the treatments for nerve damage in the arm?,"What is the best treatment option for my father's left arm muscle loss due to nerve damage, which he can move his fingers but cannot lift his hand without help?"
"SUBJECT: growth on the neck
MESSAGE: can drug remove growth on the neck? and in how many months?",What are the treatments for neck lumps or neck tumors?,Can drugs remove a growth on the neck?
"SUBJECT: male with breast
MESSAGE: I am a 51 year old male and I have enlarged breast. My mother told me that I have bird chest. I know that I don't have bird chest. My size is a 36 B. I have to wear oversized shirts. I would like to have them removed, but I don't have the money. I was abused because of my breast.  thank you for your time.",what are the treatments for gynecomastia?,What are the possible causes and treatments for enlarged breast in a 51-year-old male?
"SUBJECT: Abscess in lungs
MESSAGE: Is abscess in lungs curable?  My Dad has surgery and found 2 abscess in his lungs. After a week out of surgery room, he developed fluid. The doctor is telling us they can use the syringe to remove the fluid, nothing else can be done.   There is  a small bottle attached to his surgical area which is collecting liquid from infection.  Thank you for your reply. My dad is 84 yo.",What are the treatments for lung abscess?,Is abscess in lungs curable?
"SUBJECT: my HDL reports shows   29  .i  need your further suggession.
MESSAGE: I am 43 years male man.my HDL reports shows   29  .i  need your further suggestion.I seems very low .what i have to do its optimise,please",What are the treatments for low HDL cholesterol?,What can I do to optimize my low HDL cholesterol levels?
MESSAGE: I need help. I have been suffering  from loose of appetite for some times now  and i have done much to help the situation but no any improvement.Thefore i am pleading with you to kindly help me with this problem.If there is a medicine that can cure me please l et  me know. contact me through: [CONTACT] or [CONTACT]. Thank you.,What are the treatments for loss of appetite?,I need help. I have been suffering from loose of appetite for some times now and I have done much to help the situation but no any improvement. Therefore I am pleading with you to kindly help me with this problem. If there is a medicine that can cure me please let me know. Contact me through: [CONTACT] or [CONTACT]. Thank you.
"I have been suffering from lichen planus since last four years. Some time it reduces the red sign and sometime it increases  and I cannot take spicy food or hot food.
Could you please suggest the remedies. I had consulted the dermatologist also .He gave me some ointment named as clone taxol for applying towards the read area.
Awaiting your valuable advise I this behalf.
With kind regards.
Sent from my iPad",What are the treatments for lichen planus?,"I have been suffering from lichen planus for four years, with periods of reduced and increased symptoms. I cannot tolerate spicy or hot food. Can you suggest remedies? I have already consulted a dermatologist, who prescribed Clotrimazole ointment for the affected areas."
"SUBJECT: Muscle soreness
MESSAGE: Not sure if I need to see my doctor. Hope you can advise one way or the other?MaleAge 62Good health, eat well and exercise regularly.I have muscle soreness in my legs I would associate with overuse. However, the soreness started approximately 6 weeks ago after over using quads/thighs while snow skiing and continues today. Takes a few minutes to get out of a chair or get out of bed but I continue to exercise as always; Pilaties, snow skiing, bike riding, long walks in hilly country, etc. Not debilitating but annoying. Stopped taking statins about a week ago but soreness continues. Unusual for me.Any thoughts?",Do I need to see a doctor for persistent exercise-related leg muscle pain?,"Do I need to see a doctor for persistent muscle soreness that started 6 weeks ago and continues today, despite regular exercise and no debilitating symptoms?"
"SUBJECT: adema
MESSAGE: I have adema in my ankles/shins.  What can I do to lesson the severity of the adema ( I take bp meds w/ diaretic) ?",What are the treatments for leg edema?,What can I do to lessen the severity of my ankle/shin adema?
"SUBJECT: SEVERE leg cramps with Lupus
MESSAGE: My wife has Systemic Lupus and is already taking Potassium Chloride 20meg er 1QD and about 24-48 ounces of Gatoraid every day but still gets SEVERE leg cramps. What can she do to stop or help stop the cramps?",What are the treatments for leg cramps aside from potassium chloride and Gatoraid?,What can my wife do to stop or help stop the SEVERE leg cramps associated with Systemic Lupus?
"SUBJECT: Enquiry
MESSAGE: i have stone in my ureter. So can i eat eag. And what should i do for remove stone",What are the treatments for kidney stones?,What are the best ways to remove a stone from my ureter?
"SUBJECT: ball and socket joint
MESSAGE: sir, with due respect I would like to state that there is a pain in my ball and socket joint . I didn't feel and pain in normal or lower position as I up my hard there is a huge site of pain in my ball and socket joint. please prescribe a medicine for the cure .",What are the treatments for joint pain?,"I am experiencing pain in my ball and socket joint, particularly when I elevate my arm to a higher position."
"SUBJECT: meadicine for itiching
MESSAGE: my face is itiching too much. and iam using deetol soap ....... but not feeling well is there any medicine",What are the treatments for itchy skin?,What is the best medicine for itching?
