File,CHQ,Summary,NewSum,ExtractedSummary
1-122896045.xml.txt,"SUBJECT: Thyroid Cancer
MESSAGE: thyroid cancer . please send all data regarding surgery, issues after the surgery possible outcomes to the surgery.","Where can I find information on surgery for thyroid cancer, including recovery and prognosis?","
To summarize the health question, we can write:

""What are the possible outcomes of surgery for thyroid cancer?""",What are the possible outcomes of surgery for thyroid cancer?
1-123285222.xml.txt,"MESSAGE: Will storing my medication in the freezer reduce their efficacy? I have many and more related questions about storing pills at various temperatures that I would like to ask about, but let's start with that question. The drugs that I am concerned about are digoxin and lisinopril. As far as I know, the dosage is the lowest possible prescribed dosage for each medication (if that matters). I hope my question will not be thought of as a specific, or individually based question and you are able to answer in the most broad and objective way. Thank you very much in advance.",Will storing digoxin and lisinopril in the freezer reduce their efficacy? ,"
(i) The health question is: ""Will storing medication in the freezer reduce their efficacy?""

(ii) The question is wrapped with double quotes to indicate that it is a single, cohesive question.",Will storing medication in the freezer reduce their efficacy?
1-132811409.xml.txt,"Hello, Im sorry about my mom, she has black her mounth, neck and arms, her skin is changed in color black, she has diabetes, she inyects insuline. Can you reccomend me something please? 
 
Sent from my MetroPCS 4G Android device
 ",What treatments are available for diabetic skin darkening?,"(i) The health question can be summarized as: ""Is there any recommendation for treating my mom's darkened skin, neck, and arms, which is a symptom of her diabetes?""

(ii) The health question is wrapped with a double quote, as you requested.","Is there any recommendation for treating my mom's darkened skin, neck, and arms, which is a symptom of her diabetes?"
16734.txt,"Hello, my name is [NAME] and i am a student at [LOCATION] here in [LOCATION]. I am composing a research report on SIDS and i was hoping you could help me with some information. I was particularly interested in learning weather parents should be worried about cribs death and if you could direct me to some resources on that, or even allow me to interview you. Thank you for your time. If you have anything else that might help me, i would really appreciate it. You can email me at [CONTACT] or contact me by my phone at [CONTACT]. Thanks again.",Where can I find information on SIDS?,"The health question is: ""Should parents be worried about cribs death and where can they find resources on this topic?""",Should parents be worried about cribs death and where can they find resources on this topic?
1-132036525.xml.txt,"SUBJECT: Help for my diagnose
MESSAGE: I have been diagnosed with SCA3. I was wondering if MedlinePlus is able to help me with resources that I may need on my journey through this disease? If not, can you help me find an organization or association that can help me.","Where can I find information on SCA3, and how can I find physician(s) or hospital(s) who specialize in it?","
You can summarize the health question as follows:

""What resources are available to help me manage my diagnosis of SCA3?""",What resources are available to help me manage my diagnosis of SCA3?
1-123152505.xml.txt,"SUBJECT: rectal prolapse
MESSAGE: my rectum is stretched out and I need information mailed to me about surgical options. My address is [LOCATION]",Where can I find information on rectal prolapse surgery?,"
The health question is: ""What are the surgical options for rectal prolapse?""

The question is a one line question and is wrapped with a double quote.",What are the surgical options for rectal prolapse?
28.txt,Prenatal exams for leigh syndrome. I am looking for information about having prenatal exams anmnio or chorionic villus sampling for NARP and leigh syndrome. Thank you in advance,Where can I find information on prenatal genetic tests for NARP and leigh syndrome?,"
(i) The health question can be summarized as follows: ""Prenatal exams for Leigh syndrome"".

(ii) The health question is wrapped with double quotes to indicate that it is a single, complete sentence.",Prenatal exams for Leigh syndrome
12224.txt,"SUBJECT: ClinicalTrials.gov - Question - general information
MESSAGE: Hi, I have mixed diagnosis of autoimmune connective tissue disease and would like to submit information about this disease. I also need some serious rheumatologist recommended in
Argentina or Latin America. From already thank you very much",How can I find  rheumatologist(s) who specialize in mixed connective tissue disease in Latin America?,"(i) The health question can be summarized as: ""What are the symptoms and treatment options for autoimmune connective tissue diseases?""

(ii) The health question is wrapped with double quotes: ""What are the symptoms and treatment options for autoimmune connective tissue diseases?""",What are the symptoms and treatment options for autoimmune connective tissue diseases?
19883.txt,"SUBJECT: Customer Service Request
MESSAGE: Hi,
We are 2 sisters and a brother. My brother at age of 24 is detected with catract, however it is mild so operation is not required. But doctor said, there are chances he has this from Birth. However only from past 1.5years he had a little blur vision.
And in my entire family Mom and Dad said no one has had catract from Birth. We are a big family, my grapa had 7 brothers and 2 sisters no one from their family or my mom has catract from birth or even at early age. My concern is, if i am pregnant will my children have any issue like this. I amd my sister, mom, dad we all have got our eyes checked. we dont have any issue. I am really tensed as i am expecting. Can you please help me with the answer.",Who is at risk of developing infantile cataracts?,"(i) The health question is: ""Did my brother have catract from birth?""
(ii) The health question is wrapped in double quotes.",Did my brother have catract from birth?
NF_278.txt,MESSAGE: I have undergone Total Hip Replacement of both my hip jonts in 1977 (Charnley Process ) My left joint is completely worn out.How safe and effective is revision surgery..can I get a cementless joint..I am 66 years old..An early repy to my query will be very much appreciated.,"Where can I find information on hip revision surgery, including risks and prognosis?","
The health question can be summarized as:

""Is revision surgery safe and effective for a cementless joint replacement in a 66-year-old patient who has undergone Total Hip Replacement of both hip joints in 1977 (Charnley Process) and the left joint is now completely worn out?""",Is revision surgery safe and effective for a cementless joint replacement in a 66-year-old patient who has undergone Total Hip Replacement of both hip joints in 1977 (Charnley Process) and the left joint is now completely worn out?
NF_195.txt,"SUBJECT: Hair loss (men) on legs/feet as one ages
MESSAGE: I have observed hair loss on lower extremities on males. Is this poor blood circulation? Any advice?","Where can I find information on hair loss on the lower extremities in men, including causes and treatment?","The question is wrapped in double quotes and is a one line question.

Here is the summary:

(i) One line question: ""Is this poor blood circulation?""
(ii) Wrapped in double quotes.",Is this poor blood circulation?
NF_266.txt,"MESSAGE: My son  five years old has Ganglisidose GM 1, we are looking for a drug that could help him, or at least could prolong life. He gets Miglusitat for 1 week. Can you help us or just send some information. We would be very grateful.","Where can I find information on GM1 gangliosidosis, including treatment and prognosis?","
(i) The health question can be summarized as: ""Can you help us find a drug that could help my five-year-old son with Ganglidose GM1 or at least prolong his life?""

(ii) The question is wrapped with double quotes to enclose the entire message.",Can you help us find a drug that could help my five-year-old son with Ganglidose GM1 or at least prolong his life?
1-135863175.xml.txt,"SUBJECT: Need information abouot Folgard OS
MESSAGE: Need information about Folgard OS. I am in U.S.A. but that wasn't listed as a choice of countries!",Where can I find information on folgard OS in USA?,"
(i) The health question is a one line question, which is: ""What is Folgard OS?""

(ii) The health question is wrapped with double quotes to indicate that it is a single question.",What is Folgard OS?
1-132934715.xml.txt,"SUBJECT: Normal physical traits but no period
MESSAGE: I'm a 40 yr. old woman that has infantile reproductive organs and have never experienced a mensus. I have had Doctors look but they all say I just have infantile female reproductive organs. When I try to look for answers on the internet I cannot find anything. ALL my ""girly"" parts are normal. My organs never matured. Could you give me more information please.",Where can I find information on developmental disorders of the female reproductive system?,"
(i) The health question can be summarized as: ""What are the possible causes and treatments for a 40-year-old woman who has infantile reproductive organs and has never experienced menstruation?""

(ii) The question is wrapped in double quotes to indicate that it is a complete sentence or phrase.",What are the possible causes and treatments for a 40-year-old woman who has infantile reproductive organs and has never experienced menstruation?
17078.txt,"SUBJECT: acute constipation
MESSAGE: Sir, 1. I wish to know if severe constipation/non clearence of bowels is also related to Diabetes in old age people. 2. Request if you may provide any medical paper associated to my query.",Does diabetes affect bowel movements? ,"
You can answer the question in one line, by using the `double quotes` to wrap the question, and by summarizing it as follows:

""Is severe constipation/non clearance of bowels related to Diabetes in old age people?""",Is severe constipation/non clearance of bowels related to Diabetes in old age people?
1-122992065.xml.txt,"SUBJECT: Is Balsalazide a steroid?
MESSAGE: Is Balsalazide a steroid? I have been on it doe close to 2 years now, your information states 6-8 weeks.  Will this do any damage to my other organs?  Was on Asacol prier to Balsalazide 750mg each X9 per day.  Is this safe? I cannot seem to lose any weight no matter how much I try. I exercise 5-6 days a week for 30 minutes, watch what I eat.","Where can I find information on balsalazide, including dosage, side effects, and drug class?","
Answer: The health question is: ""Is Balsalazide a steroid?""

Here is a summary of the question:

(i) One line question: Is Balsalazide a steroid?

(ii) Wrapped with double quotes: ""Is Balsalazide a steroid?""",Is Balsalazide a steroid?
1-131094315.xml.txt,"SUBJECT: autonomic and arthritis .
MESSAGE: Hi there , i have a few questions about autonomic disorders combined with arthritis ? My girlfriend has arthritis and autonomic disorder. I am really worried about her and want to help her, is there any new medications out there for treatment of autonomic disorder ? Also her autonomic disorder effects her heart lungs and blood pressure , is this condition fatal ? How long does someone live with this condition ?","Where can I find information on autonomic disorder, including symptoms, treatment, and prognosis?","
You can see that the health question is a detailed one and involves multiple aspects of the person's health. To summarize it in a one-liner, you can use the following:

""What are the latest treatment options for autonomic disorders and arthritis, and how long can someone live with this condition?""

This summary captures the main points of the original question while being concise and easy to understand.","What are the latest treatment options for autonomic disorders and arthritis, and how long can someone live with this condition?"
77.txt,"Re: 16p-13.11 duplication of genes. Dear all, I am a health professional and have recently assessed a 9 year old boy on my caseload whose mother reported that he has been diagnosed with 16p-13.11 duplication of genes.  I have never come across it and when I looked on the internet I could not find anything coherent.  I have been in contact with the paediatrician who used to be in charge of that child but she is unfortunately on long term sick.  Would you be able to give me some information on this condition with key features please? Are there behavioural, coordination, sensory difficulties, etc...that can be associated with it?","Where can I find information on 16p-13.11 duplication, including symptoms?","
To summarize the health question, you can use the following one-liner:

""What are the key features of 16p-13.11 duplication of genes, a rare genetic condition that can cause various developmental delays and behavioral issues in children?""

Here is the question wrapped in double quotes for your convenience:

""What are the key features of 16p-13.11 duplication of genes?""","What are the key features of 16p-13.11 duplication of genes, a rare genetic condition that can cause various developmental delays and behavioral issues in children?"
1-123116665.xml.txt,"SUBJECT: LIFESPAN OF UN-OPENED MEDICATION
MESSAGE: Hi I have an un-opened prescription of Atorvastatin. How long is the lifespan in an Un-Opened container that has been stored at room temp (roughly 60degrees)?   Thanks",For how long can Atorvastatin be stored at room temperature?,"
The health question is: ""How long is the lifespan of an unopened prescription of Atorvastatin that has been stored at room temperature (roughly 60 degrees)?""",How long is the lifespan of an unopened prescription of Atorvastatin that has been stored at room temperature (roughly 60 degrees)?
NF_224.txt,"SUBJECT: The results of smoking
MESSAGE: What are some illnesses caused by smoking? Also, what are their effect on the human body?",What are the risks of smoking?,"(i) The health question is a one line question: ""What are some illnesses caused by smoking? Also, what are their effect on the human body?""

(ii) The health question is wrapped with a double quotes: ""What are some illnesses caused by smoking? Also, what are their effect on the human body?""","What are some illnesses caused by smoking? Also, what are their effect on the human body?"
1-131579042.xml.txt,"Hi,
Fırst of all thanks for valuable information whıch you Published on your web sıte.
http://www.cdc.gov/measles/about/complications.html
I couldnt find any ınformatıon on web that ıs related early ages..
When my son 6 months old (when he was baby)  he had measles and he hadnt had vaccacine when he was ill.
I saw that if you had measles you have possıbılıty for SSPE that is 4 to 20 out of 100.000 case...But I want to know (it ıs very ımportant for me) if you had measles when your son stıll baby,what is the risk..
Please help me to know the facts...Please Write me the worth case.. I want to know just truth..
Thanks,
Best Regards
[NAME]",What percent of babies who contracted measles will eventually develop SSPE?,"
The health question is: ""What is the risk of developing SSPE if a baby under 1 year old has measles?""

(i) It is a one line question: ""What is the risk of developing SSPE if a baby under 1 year old has measles?""

(ii) It is wrapped with a double quote: ""What is the risk of developing SSPE if a baby under 1 year old has measles?""",What is the risk of developing SSPE if a baby under 1 year old has measles?
1-131053515.xml.txt,Interested in research regarding Arimidex and the pros and cons of taking it following lumpectomy and radiation for breast cancer.  Are there research results of recent research?  The possible side effects are worrying - I make decisions for my 47 year old daughter with Down Syndrome-trying to do what is best.  She has taken Anastrozole for a year now.,"What is the the latest research on Arimidex, and the benefits and side effects of the drug?","
Here is the summary you requested:

Question: ""What are the pros and cons of taking Arimidex after lumpectomy and radiation for breast cancer? Are there recent research results? I am making decisions for my 47-year-old daughter with Down Syndrome, and the possible side effects are worrying.""","What are the pros and cons of taking Arimidex after lumpectomy and radiation for breast cancer? Are there recent research results? I am making decisions for my 47-year-old daughter with Down Syndrome, and the possible side effects are worrying."
1-134742135.xml.txt,"SUBJECT: ClinicalTrials.gov - Question - specific study
MESSAGE: I have had epilepsy for 26 years and my seizures have never been under control. I started the Modified Atkins Diet a couple of weeks ago, but I am having serious issues and hope you might have an answer. My seizures have tripled in these 2 weeks than what have been in years. Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone? Please help me.",What is the success rate of the modified Atkins diet for epilepsy?,"
(i) The health question is a one line question: ""Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone?""

(ii) The health question is wrapped with a double quotes: ""Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone?""",Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone?
1-132341105.xml.txt,MESSAGE: Afternoon my name is [NAME] i just need a clarity on ACL repair. [DATE] i done ACL repair as the doctors told me after my discharge i attend physiotherapy but after the physio my leg get swallow so i stopped as there was no progress. now my knee is stiff and swallow also it change colour and doctors tells me they don't see anything. so i need an advise what can i do or where can i go and get help.  regards   [NAME],What is the recovery process after ACL surgery?,"
To summarize the health question, you can use the following one-line question:

```""What are the best options for managing a swollen and stiff knee after an ACL repair, and where can I go for help?""```

Note that the question is wrapped in double quotes to indicate that it is a complete question, and the details of the original message are not included in the summary.","What are the best options for managing a swollen and stiff knee after an ACL repair, and where can I go for help?"
12706.txt,"SUBJECT: Thoracic outlet syndrome
MESSAGE: I was diagnose with TOS in my left shoulder was told surgery would help my problem. physical therapy did not help tired of the numbness in pain in hand just wondering if the stats our good percentage wise for surgery results Dr.[NAME] is my surgeon",What are the success rate and prognosis for thoracic outlet syndrome surgery?,"
You can see that the health question is detailed and long, but by summarizing it in one line and wrapping it with double quotes, it can be easily understood and communicated.

Here is the summary:

""What is the good percentage of surgery results for Thoracic Outlet Syndrome (TOS)?""",What is the good percentage of surgery results for Thoracic Outlet Syndrome (TOS)?
16806.txt,"MESSAGE: HI, THIS IS [NAME]. SUPPOSE WE REMOVED THE EYE DUCT DUE TO TEAR TUBE DAMAGE, IS IT ANY PROBLEM WILL COME??",What are the prognosis and complications of tear duct surgery?,"
The question is: ""Is it any problem will come if we removed the eye duct due to tear tube damage?""

The answer is: No, it is not a problem to remove the eye duct due to tear tube damage. The tear duct is responsible for draining tears from the eye, and if it is damaged, it can cause excessive tearing and discomfort. However, removing the eye duct is a common procedure to treat various eye conditions, including blockages or damage to the tear duct.

It is important to consult with an eye doctor or medical professional before making any decisions regarding eye surgery. They can evaluate the condition and recommend the best course of treatment.",Is it any problem will come if we removed the eye duct due to tear tube damage?
87.txt,polymicrogyria. My 16 month old son has this. Does not sit up our crawl yet but still trying and is improving in grabbing things etc etc. Have read about other cases that seem 10000 time worse. It's it possible for this post of his brain to grown to normal and he grow out of it?,What is the prognosis for polymicrogyria?,"
Here is the summary of the health question:

""Can my 16 month old son's brain grow out of polymicrogyria, a condition where the cerebral cortex is abnormally folded and thinned?""","Can my 16 month old son's brain grow out of polymicrogyria, a condition where the cerebral cortex is abnormally folded and thinned?"
1-135532995.xml.txt,MESSAGE: Sometime during March I overdosed on Benadryl. I got all the symptoms but survived without medical treatment. I am just curious as to if any damage happened.  Like Neurological.,What is the prognosis for benadryl toxicity?,"
(i) One line question: Did you overdose on Benadryl in March?

(ii) Wrapped in double quotes: ""Did you overdose on Benadryl in March?""",Did you overdose on Benadryl in March?
1-136317525.xml.txt,"SUBJECT: Small intestine completely removed
MESSAGE: One of my family members has a serious health issue in which his small bowel has been removed completely, due to gangarin. Could you please help and advise accordingly.",What are the prognosis and care instructions after small bowel resection?,"
(i) The health question is a one line question: ""Could you please help and advise accordingly.""

(ii) The health question is wrapped with a double quotes.",Could you please help and advise accordingly.
1-136139735.xml.txt,"SUBJECT: sodium intake
MESSAGE: My mother is 96 years old and generally in good health.  I keep her on a low sodium diet and wonder if I'm not allowing enough sodium in her diet.  What is the lowest amount she should have per day?  Thank you.",What is the minimum required sodium intake per day in elderly?,"
The health question is: ""What is the lowest amount of sodium my mother should have per day?""",What is the lowest amount of sodium my mother should have per day?
1-121809825.xml.txt,"SUBJECT: PERIDONTITIS LEFT UNTREATED EFFECTS
MESSAGE: Hi, If periodontitis is left untreated for approx 7 months will it have any affect on the condition as I need to travel.  A dentist has told me I have mod-advanced periodontitis with gum pockets of 5-9mm and bone loss 20-50>% with restorations and caries.  I have all my teeth at this stage, some are loose.  If I leave it for this amount of time is it likely to worsen at all and what could I expect?  On the other hand if I seek treatment immediately will help in any way.  Hope to hear from you.  Thanks kindly [NAME]",What is the prognosis for untreated periodontitis?,"
The health question can be summarized as: ""What are the effects of untreated periodontitis on my oral health if left untreated for approximately 7 months?""",What are the effects of untreated periodontitis on my oral health if left untreated for approximately 7 months?
12676.txt,"SUBJECT: Vasectomy
MESSAGE: On the text that says it is very rare that the vas deferens can grow back and my partner pregnant ... So is it possible? ... Is that my partner got pregnant, I have vasectomy 16 years .. [CONTACT]     thanks",What is the late failure rate of vasectomy?,"
You can answer the question by providing a detailed response, or you can simply say ""yes"" or ""no"" to the question.",yes
10599.txt,"Customer Service Request.
 My daughter has Turner syndrome but she's beaten all odds. She developed on our own, got her period on her own, she is now pregnant on her own with identical twins. My question is can she have normal children or do they have more of a chance of having Turner syndrome.  My daughter has been tested many times to confirm her diagnosis of Turner syndrome and she is a full XO not mosaic but still does not display many of the characteristics. Again, I am just questioning the safety of the pregnancy and the health of the babies. Thank you for your help",What is the inheritance pattern of Turner syndrome?,"
(i) The health question can be summarized as: ""Can my daughter have normal children or does she have a higher chance of having Turner syndrome?""

(ii) The health question is wrapped in double quotes for clarity and to indicate that it is a complete sentence.",Can my daughter have normal children or does she have a higher chance of having Turner syndrome?
10304.xml.txt,"Multiple orgasm.
 If I get a  vesectomy will I still be able to have multiple orgasms? I know it's not even usual to have them as a guy, which is why I'm wondering if I would still have them if my vasectomy happened?",What is the effect of vasectomy on orgasms?,"
I have wrapped the question in double quotes and made it a one-liner for you.

```""Will I still be able to have multiple orgasms after a vasectomy?""```",Will I still be able to have multiple orgasms after a vasectomy?
1-136065547.xml.txt,"SUBJECT: residual cancer
MESSAGE: How long do radiation treatments actively treat the area where it was delivered?
Would cancer found approximately 3 months after radiation(which followed chemo, which followed surgery, and pt is on aromatase inhibitor since chemo) be considered residual or reoccurrence by most oncologists?",What is the difference between residual and recurrent maligancy?,"
To summarize the health question:

(i) The question is a one-line question: ""How long do radiation treatments actively treat the area where it was delivered?""

(ii) The question is wrapped in double quotes: ""How long do radiation treatments actively treat the area where it was delivered?""",How long do radiation treatments actively treat the area where it was delivered?
96.txt,"ClinicalTrials.gov - Question - general information. my name is [NAME] from [LOCATION],my 10year old boy has duchenne muscular dystrophy  patient. my question is what is exon skipping & it can help for dmd  patient ?","What is exon skipping, and is it an effective treatment for  duchenne muscular dystrophy?","
(i) The health question can be summarized as: ""What is exon skipping and can it help treat Duchenne muscular dystrophy?""

(ii) The question is wrapped in double quotes to indicate that it is a complete and standalone question.",What is exon skipping and can it help treat Duchenne muscular dystrophy?
10803.txt,"BCG and Stage 3 Urinary Bladder Cancer.
 My dad begins this BCG Treatment in a few weeks for Stage 3 cancer tumors in the urinary bladder?  How effective is BCG for this issue?  Thank you very much.    Is BCG similiar to Chemotherapy?","What is BCG treatment, and is it an effective treatment for bladder cancer?","
(i) One line question: ""Is BCG effective for treating Stage 3 Urinary Bladder Cancer?""

(ii) Wrapped with double quotes: ""Is BCG effective for treating Stage 3 Urinary Bladder Cancer?""",Is BCG effective for treating Stage 3 Urinary Bladder Cancer?
1-122918895.xml.txt,"SUBJECT: meaning of label directions
MESSAGE: asked if med label says ""take with food"", how much food is required and found no asnwer.  not supposed to eat at nite when med is
to be taken.     no answer.","What does ""take with food"" mean on medication labels?","
(i) The health question can be summarized as: ""What does the label on my medication mean when it says 'take with food'?""

(ii) The question is wrapped with double quotes to indicate that it is a single, complete question.",What does the label on my medication mean when it says 'take with food'?
NF_223.txt,"SUBJECT: insulin-dependent diabetes in children
MESSAGE: Hi, What are the causes of insulin-dependent diabetes in children? I am searching for information on the causes of insulin-dependent diabetes in children. Please help.",What causes type 1 diabetes in children?,"
You are required to summarize the health question in a one-line question delimited by double quotes, as follows:

```""What are the causes of insulin-dependent diabetes in children?""```

Note that the question has been simplified to a single line, and the double quotes are used to enclose the question.",What are the causes of insulin-dependent diabetes in children?
10225.txt,"Tailbone trauma - aftercare
 I read the article, but what if the person hasn't falling or been bumped?  What could cause this?",What causes tailbone injury?,"
Please provide a one-line summary of the health question in the format of a double quote, and then provide the answer to the question.

Answer: The health question is ""What could cause tailbone trauma if the person hasn't fallen or been bumped?""",What could cause tailbone trauma if the person hasn't fallen or been bumped?
1-137191537.xml.txt,"SUBJECT: X-linked congenital stationary night blindness
MESSAGE: i m suffering from similar or same decease.my mothers father suffered from same & my brother also.we have problem in low light infact cant view in damp conditions during day also have myopia but still not normal myopia cant see little object with clarity.life is looking like imprisonment.is there any chance for our recovery from this x linked decease.will we be able to see like normal ones.plz help. my age 38 y brother 44.address [LOCATION]",What are the treatments for X-linked congenital stationary night blindness?,"
The health question is: ""Can we recover from X-linked congenital stationary night blindness and see like normal individuals?""",Can we recover from X-linked congenital stationary night blindness and see like normal individuals?
1-136165856.xml.txt,"We appreciate your response.
My son is 24 years old. We cannot find any drugs, treatments as well as
hospitals to fight against Wilson's disease in [LOCATION].
Currently there is [PHI] person with Wilson's disease in [LOCATION] who is my
son. We cannot find anything good to help my son at the moment.
Therefore, we need somewhere where my son can get help. We are also lack of
financial condition to support full treatment for my son. However,
we wish to have good medication with less expense if possible. We want to
get diagnosed my son's other infected organs and want to know how we can
help to get them recovered well.
Regards
[NAME].","What are the treatments for Wilson's disease, and how can I find physician(s) or hospital(s) who specialize in it?","(i) The health question is: ""What are the available treatment options for Wilson's disease in [LOCATION] with a financial constraint and a desire for less expensive medication?""

(ii) The health question is wrapped in double quotes to indicate that it is a complete and coherent question.",What are the available treatment options for Wilson's disease in [LOCATION] with a financial constraint and a desire for less expensive medication?
11588.txt,"Spinal Cord.
 My Brother is 58 years old have spinal cord problem his both legs he cannot move them wheelchair user his legs are very heavy as he had urinaire infection after the other now the test comes positive and the infection still going cannot clear so his Doctor cannot give him any treatment for his main problem (Spinal cord) I want to help him what he should do I want to get advice please baging you for help and advice, many thank you",What are the treatments for urinary tract infection?,"
You can summarize the health question as follows:

""What can my brother do to address his spinal cord problem, which is causing weakness in his legs and making it difficult for him to walk, despite positive test results for urinary infection that have not cleared up?""","What can my brother do to address his spinal cord problem, which is causing weakness in his legs and making it difficult for him to walk, despite positive test results for urinary infection that have not cleared up?"
